"source","source_row","source_col","dataset_label","method","metric","value","dataset","endpoint","provenance_note","paper_metric","matches_paper_metric","paper_score","difference_from_paper"
"April29.csv",16,60,"Census_Kdd","ctgan","test_f1_micro_max",0.825425152214991,"Adult","max","Confirmed final routing to Adult/Census, not Census-KDD","Binary F1",FALSE,NA,NA
"April29.csv",26,60,"Census_Kdd","tvae","test_f1_micro_max",0.809678773882007,"Adult","max","Confirmed final routing to Adult/Census, not Census-KDD","Binary F1",FALSE,NA,NA
"April29.csv",16,61,"Covertype","ctgan","test_f1_micro_max",0.680378303486141,"Covertype","max","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA
"April29.csv",26,61,"Covertype","tvae","test_f1_micro_max",0.652642358631016,"Covertype","max","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA
"April29.csv",16,62,"MNIST12","ctgan","test_f1_micro_max",0.5544,"MNIST12","max","Historical synthetic-only pivot","Accuracy",TRUE,0.394,0.1604
"April29.csv",26,62,"MNIST12","tvae","test_f1_micro_max",0.9252,"MNIST12","max","Historical synthetic-only pivot","Accuracy",TRUE,0.793,0.1322
"April29.csv",16,63,"MNIST28","ctgan","test_f1_micro_max",0.5341,"MNIST28","max","Historical synthetic-only pivot","Accuracy",TRUE,0.371,0.1631
"April29.csv",26,63,"MNIST28","tvae","test_f1_micro_max",0.9361,"MNIST28","max","Historical synthetic-only pivot","Accuracy",TRUE,0.794,0.1421
"final_results.xlsx (older workbook)",NA,NA,"adult","ctgan","test_accuracy_max",0.838897054,"Adult","max","Older workbook: mixed/synthetic aggregation defect; not the final April record","Binary F1",FALSE,NA,NA
"final_results.xlsx (older workbook)",NA,NA,"census","ctgan","test_accuracy_max",0.826422423,"Adult","max","Older workbook: mixed/synthetic aggregation defect; not the final April record","Binary F1",FALSE,NA,NA
"final_results.xlsx (older workbook)",NA,NA,"covertype","ctgan","test_accuracy_max",0.829783511,"Covertype","max","Older workbook: mixed/synthetic aggregation defect; not the final April record","Macro-F1",FALSE,NA,NA
"final_results.xlsx (older workbook)",NA,NA,"credit","ctgan","test_accuracy_max",0.79895,"Credit","max","Older workbook: mixed/synthetic aggregation defect; not the final April record","Binary F1",FALSE,NA,NA
"final_results.xlsx (older workbook)",NA,NA,"mnist12","ctgan","test_accuracy_max",0.765571429,"MNIST12","max","Older workbook: mixed/synthetic aggregation defect; not the final April record","Accuracy",TRUE,0.394,0.371571429
"final_results.xlsx (older workbook)",NA,NA,"mnist28","ctgan","test_accuracy_max",0.5615,"MNIST28","max","Older workbook: mixed/synthetic aggregation defect; not the final April record","Accuracy",TRUE,0.371,0.1905
"final_results.xlsx (older workbook)",NA,NA,"adult","ctgan","test_accuracy_end",0.83417314,"Adult","end","Older workbook: mixed/synthetic aggregation defect; not the final April record","Binary F1",FALSE,NA,NA
"final_results.xlsx (older workbook)",NA,NA,"census","ctgan","test_accuracy_end",0.823168171,"Adult","end","Older workbook: mixed/synthetic aggregation defect; not the final April record","Binary F1",FALSE,NA,NA
"final_results.xlsx (older workbook)",NA,NA,"covertype","ctgan","test_accuracy_end",0.829582713,"Covertype","end","Older workbook: mixed/synthetic aggregation defect; not the final April record","Macro-F1",FALSE,NA,NA
"final_results.xlsx (older workbook)",NA,NA,"credit","ctgan","test_accuracy_end",0.69325,"Credit","end","Older workbook: mixed/synthetic aggregation defect; not the final April record","Binary F1",FALSE,NA,NA
"final_results.xlsx (older workbook)",NA,NA,"mnist12","ctgan","test_accuracy_end",0.736964286,"MNIST12","end","Older workbook: mixed/synthetic aggregation defect; not the final April record","Accuracy",TRUE,0.394,0.342964286
"final_results.xlsx (older workbook)",NA,NA,"mnist28","ctgan","test_accuracy_end",0.5205,"MNIST28","end","Older workbook: mixed/synthetic aggregation defect; not the final April record","Accuracy",TRUE,0.371,0.1495
"final_results.xlsx (older workbook)",NA,NA,"adult","ctgan","test_f1_macro_max",0.781315667,"Adult","max","Older workbook: mixed/synthetic aggregation defect; not the final April record","Binary F1",FALSE,NA,NA
"final_results.xlsx (older workbook)",NA,NA,"census","ctgan","test_f1_macro_max",0.774767552,"Adult","max","Older workbook: mixed/synthetic aggregation defect; not the final April record","Binary F1",FALSE,NA,NA
"final_results.xlsx (older workbook)",NA,NA,"covertype","ctgan","test_f1_macro_max",0.728486041,"Covertype","max","Older workbook: mixed/synthetic aggregation defect; not the final April record","Macro-F1",TRUE,0.324,0.404486041
"final_results.xlsx (older workbook)",NA,NA,"credit","ctgan","test_f1_macro_max",0.496207791,"Credit","max","Older workbook: mixed/synthetic aggregation defect; not the final April record","Binary F1",FALSE,NA,NA
"final_results.xlsx (older workbook)",NA,NA,"mnist12","ctgan","test_f1_macro_max",0.72926366,"MNIST12","max","Older workbook: mixed/synthetic aggregation defect; not the final April record","Accuracy",FALSE,NA,NA
"final_results.xlsx (older workbook)",NA,NA,"mnist28","ctgan","test_f1_macro_max",0.485512269,"MNIST28","max","Older workbook: mixed/synthetic aggregation defect; not the final April record","Accuracy",FALSE,NA,NA
"final_results.xlsx (older workbook)",NA,NA,"adult","ctgan","test_f1_macro_end",0.777284095,"Adult","end","Older workbook: mixed/synthetic aggregation defect; not the final April record","Binary F1",FALSE,NA,NA
"final_results.xlsx (older workbook)",NA,NA,"census","ctgan","test_f1_macro_end",0.773759327,"Adult","end","Older workbook: mixed/synthetic aggregation defect; not the final April record","Binary F1",FALSE,NA,NA
"final_results.xlsx (older workbook)",NA,NA,"covertype","ctgan","test_f1_macro_end",0.722667564,"Covertype","end","Older workbook: mixed/synthetic aggregation defect; not the final April record","Macro-F1",TRUE,0.324,0.398667564
"final_results.xlsx (older workbook)",NA,NA,"credit","ctgan","test_f1_macro_end",0.424063429,"Credit","end","Older workbook: mixed/synthetic aggregation defect; not the final April record","Binary F1",FALSE,NA,NA
"final_results.xlsx (older workbook)",NA,NA,"mnist12","ctgan","test_f1_macro_end",0.725154563,"MNIST12","end","Older workbook: mixed/synthetic aggregation defect; not the final April record","Accuracy",FALSE,NA,NA
"final_results.xlsx (older workbook)",NA,NA,"mnist28","ctgan","test_f1_macro_end",0.468245325,"MNIST28","end","Older workbook: mixed/synthetic aggregation defect; not the final April record","Accuracy",FALSE,NA,NA
