"dataset_label","method","metric","source_older","source_row_older","source_col_older","value_older","dataset_older","endpoint_older","provenance_note_older","paper_metric_older","matches_paper_metric_older","paper_score_older","difference_from_paper_older","source_April29","source_row_April29","source_col_April29","value_April29","dataset_April29","endpoint_April29","provenance_note_April29","paper_metric_April29","matches_paper_metric_April29","paper_score_April29","difference_from_paper_April29","absolute_difference"
"Census","tvae","test_f1_micro_end","April02.csv",26,31,0.804534956959899,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,"April29.csv",26,46,0.804534956959899,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,0
"Census","tvae","test_f1_micro_end","Mar23.csv",26,25,0.804534956959899,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,"April29.csv",26,46,0.804534956959899,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,0
"Census","tvae","test_f1_micro_max","April02.csv",26,42,0.814402687381902,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,"April29.csv",26,59,0.814402687381902,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,0
"Census","tvae","test_f1_micro_max","Mar23.csv",26,34,0.814402687381902,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,"April29.csv",26,59,0.814402687381902,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA,0
"Covertype","ctgan","test_f1_macro_end","April02.csv",16,10,0.474843098747026,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.150843098747026,"April29.csv",16,22,0.474843098747026,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.150843098747026,0
"Covertype","ctgan","test_f1_macro_end","Mar23.csv",16,8,0.474843098747026,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.150843098747026,"April29.csv",16,22,0.474843098747026,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.150843098747026,0
"Covertype","ctgan","test_f1_macro_max","April02.csv",16,21,0.483519528518426,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.159519528518426,"April29.csv",16,35,0.483519528518426,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.159519528518426,0
"Covertype","ctgan","test_f1_macro_max","Mar23.csv",16,17,0.483519528518426,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.159519528518426,"April29.csv",16,35,0.483519528518426,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.159519528518426,0
"Covertype","ctgan","test_f1_micro_end","April02.csv",16,32,0.676402502517147,"Covertype","end","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA,"April29.csv",16,48,0.676402502517147,"Covertype","end","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA,0
"Covertype","ctgan","test_f1_micro_end","Mar23.csv",16,26,0.676402502517147,"Covertype","end","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA,"April29.csv",16,48,0.676402502517147,"Covertype","end","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA,0
"Covertype","ctgan","test_f1_micro_max","April02.csv",16,43,0.680378303486141,"Covertype","max","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA,"April29.csv",16,61,0.680378303486141,"Covertype","max","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA,0
"Covertype","ctgan","test_f1_micro_max","Mar23.csv",16,35,0.680378303486141,"Covertype","max","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA,"April29.csv",16,61,0.680378303486141,"Covertype","max","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA,0
"Covertype","tvae","test_f1_macro_end","April02.csv",26,10,0.267245919505186,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.165754080494814,"April29.csv",26,22,0.267245919505186,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.165754080494814,0
"Covertype","tvae","test_f1_macro_end","Mar23.csv",26,8,0.267245919505186,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.165754080494814,"April29.csv",26,22,0.267245919505186,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.165754080494814,0
