global_round,train_loss,train_mae,train_mape,train_r2,train_mse,dev_loss,dev_mae,dev_mape,dev_r2,dev_mse,test_loss,test_mae,test_mape,test_r2,test_mse
49,74605621.21142857,4375.6198681609385,10.11051384270712,0.496079961541106,74605621.0115568,104038151.15789473,4678.825908518053,4.608500423270638,0.32740874175939827,104038149.15956897,125092372.80060537,4236.8520504733415,2.977310307620507,-0.036632745129911104,125092375.11185752
50,76004521.62285714,4362.562985771325,10.169062656372507,0.4866311518538199,76004522.14812572,104101656.42105263,4658.448569230245,4.4382317445304516,0.32699818251371016,104101655.52174422,124690193.2808677,4141.559378300779,2.879568848594532,-0.033299906783428534,124690195.39432107
51,77558553.00571428,4400.053400112843,9.924818418630217,0.47613452583029237,77558553.03248242,106441688.42105263,4690.078519678332,4.517439761261219,0.3118702166279175,106441688.2712391,124974094.8810695,4194.696389317497,2.9325280526266595,-0.03565254822067754,124974092.95259777
52,74567725.6,4386.381134425173,10.19447090485549,0.49633592100680046,74567726.08094376,104619617.89473684,4691.684731541398,4.525464215871204,0.3236496239754808,104619619.18600765,125086927.59591374,4225.935117188732,2.9749738515912036,-0.036587473245384805,125086912.07049808
53,75158121.37142856,4356.837253136917,10.071501710854559,0.4923481211051901,75158121.9085027,106684304.84210527,4671.839637638609,4.459976780232897,0.3103017353352956,106684304.99971496,124872964.97111867,4184.656461194419,2.920519783511001,-0.034814560759464985,124872971.46832138
54,76521217.12,4377.840124920037,10.100728003812208,0.4831411564430661,76521217.76464269,105590448.84210527,4671.690754521736,4.531263706337359,0.31737334731202715,105590449.83490308,124994288.67549501,4221.612776865137,2.9613209114368444,-0.03581997412127813,124994296.54317482
55,74620009.92,4373.077455264101,9.986514729981069,0.4959827730899157,74620009.8117688,106370966.73684211,4691.579585861121,4.577091428061873,0.3123274193706592,106370966.97273463,124833181.81561357,4225.44436429587,2.969626356056218,-0.034484829654793936,124833182.21101177
56,74061042.08,4337.202150608753,10.269572099608464,0.49975829061811883,74061042.49883352,105767363.78947368,4653.752576409104,4.487193704888947,0.3162296418082513,105767361.14967056,124635198.34632362,4154.902426515797,2.889548796951581,-0.032844097927301474,124635192.10344702
57,73044242.81142858,4322.123559365555,9.906216495394942,0.506626216023577,73044242.60831466,104484676.42105263,4636.881425212775,4.487986369451097,0.3245219898429472,104484679.3854539,125435855.28313784,4180.606513237109,2.909594965614929,-0.03947918759261304,125435860.54577945
58,74129915.29142857,4353.624245049214,9.988962646733835,0.49929309476620864,74129914.98409902,105542716.0,4664.713966678534,4.526072350627651,0.3176819475940631,105542714.74798398,124696223.87085383,4180.2396051640435,2.928754698755942,-0.033349858672344856,124696223.18039596
59,72708258.46857142,4289.726418443008,10.077956655869542,0.5088956018435183,72708258.86984432,103504686.31578948,4611.296983864649,4.43944229510177,0.33085750197198194,103504686.04208668,125484700.15638794,4127.992728341225,2.845234291648805,-0.0398840019034199,125484710.23131755
60,72864306.21714285,4321.9925550892785,9.922190748170216,0.5078415912280285,72864305.68386242,105281427.36842105,4650.506754054737,4.529742208522492,0.3193711350109991,105281426.88512748,124844413.62391222,4148.975843164235,2.888834787957403,-0.03457789539692091,124844412.6248482
61,73260024.64,4316.930440783783,10.169730494280397,0.5051687266338548,73260024.66248843,104808073.68421052,4632.909752251188,4.484201082280235,0.3224313042404372,104808072.02235596,125577905.60171522,4173.389250188687,2.8951404982133706,-0.04065634528116302,125577910.32361417
