global_round,train_loss,train_r2,train_mape,train_mse,train_mae,dev_loss,dev_r2,dev_mape,dev_mse,dev_mae,test_loss,test_r2,test_mape,test_mse,test_mae
67,221257.00618767805,-1.0273406210559077,0.3408355484102487,221257.0062487543,415.1184150554516,260506.5733173077,-1.2037680712784065,0.3393417989679681,260506.57274062978,414.8981558604118,127124072.09257157,-0.05346936248734435,0.518644776743855,127124080.6160348,2588.6704571507803
68,202150.55074786325,-0.8522713946713145,0.32084394502172364,202150.55096746775,391.7657206255486,241955.01161858975,-1.0468302552276971,0.3194453123790383,241955.01410539955,391.79515745089606,127009380.88535754,-0.052518922077324115,0.5120080535589364,127009389.22812498,2571.4587446990477
69,189129.7299456909,-0.7329638079914214,0.3053286218636369,189129.72990888896,373.2952974936222,227828.8685897436,-0.9273294531895411,0.3037923571796793,227828.87044062742,373.0544825945145,126919355.18400808,-0.05177286642850909,0.5076054310452999,126919361.32430434,2559.072433820001
70,172374.70590722933,-0.5794403510086301,0.2874012928831155,172374.70604749164,352.222333410187,212851.27924679487,-0.8006258410771339,0.285827095004385,212851.28537827832,352.1983408622253,126812234.80161433,-0.05088510802248303,0.5029086140763651,126812233.8888099,2544.4157287774706
71,158008.43718839032,-0.44780464977741197,0.2689389315841572,158008.436823968,330.8804532211391,197944.78125,-0.6745236035079318,0.26733019444225253,197944.78856846615,330.7982056691096,126705759.82217178,-0.05000274234393376,0.4992995390209008,126705757.20363334,2530.8509651190816
72,142974.3603320869,-0.3100499366917657,0.2504626821222406,142974.35962084285,309.1246412934741,184395.1610576923,-0.5598998870359102,0.24894121338002237,184395.16330522412,309.3962206718249,126600888.29158784,-0.04913371597513683,0.4964286052127013,126600890.19743626,2517.8297843726227
73,128242.71182781339,-0.17506633098389912,0.23292619070654857,128242.71157837943,287.74555136403467,171742.04086538462,-0.4528601619438659,0.2315798421151374,171742.03873451927,288.5276393279051,126495739.11514693,-0.04826232926154339,0.4944841052923778,126495738.36410241,2505.275741278862
74,118675.50874732906,-0.08740366185937942,0.21836982019115944,118675.50835223173,270.6501535065154,161870.7640224359,-0.369353607835083,0.2169053405248968,161870.76121862372,271.3795241514842,126415695.1625678,-0.047598987011583604,0.4933821161144287,126415691.63786368,2495.824732718514
75,109278.03914040243,-0.0012962355238408385,0.2023251451485164,109278.03899315406,251.9628154728827,152767.0655048077,-0.2923404380525967,0.20097772106805684,152767.06415657786,252.86102694120163,126322142.60713835,-0.046823744941000944,0.4929134730828068,126322141.7549843,2485.8202785761846
76,97629.1096309651,0.10544094240022728,0.18533028960922215,97629.10925848532,231.28073667325185,142178.66145833334,-0.20276734652039075,0.18414446077573318,142178.6635943983,232.61989783018063,126225619.39185269,-0.04602387567598898,0.492716120055931,126225620.06337327,2475.261532934937
77,91799.2192619302,0.15885923875585461,0.17186798712045037,91799.21949659666,215.95537274855155,135092.94961939103,-0.14282534744940456,0.17052087343950365,135092.94303028,216.94882974869165,126154100.23281625,-0.045431228009396696,0.4930434034209988,126154104.18220241,2468.24814231123
78,81925.4423633369,0.24933099853731644,0.1532316942339845,81925.44174489507,193.9636766910553,125935.46834935897,-0.06535726589238244,0.15192893647614517,125935.47102302636,195.19945790828803,126051163.89254636,-0.044578172257535575,0.49377212112830954,126051164.3796499,2458.2530109291497
79,73198.35554108796,0.32929581666948393,0.13991358029205916,73198.35559006111,177.5563718525433,119308.56014623397,-0.009296551809375053,0.1387563368850397,119308.55565861383,179.36792220213474,125971672.76655316,-0.04391937506598986,0.4951800006504628,125971666.11394815,2450.79392449019
80,66128.55464298432,0.39407520808710084,0.12505470773509855,66128.55485563242,159.78294513368198,113502.13371394231,0.03982316660090768,0.12426735043792202,113502.13271247114,162.2327480744093,125886802.66086517,-0.04321605319311539,0.49665289707921106,125886794.9732676,2443.122634962748
81,61648.73960559117,0.43512300526108005,0.11086368306724792,61648.73897195993,143.78129490963755,109101.01126802884,0.07705469307243507,0.11006804334112562,109101.00834489048,146.1979752014845,125807833.14339766,-0.042561782780731194,0.49898287160854043,125807842.96231188,2437.257823823334
82,59162.22341858084,0.457906532317627,0.09543280634799851,59162.22292430458,125.75088058373866,103632.19150641025,0.12331840631503,0.09464176375592993,103632.19266679947,127.84148224194844,125722342.96910077,-0.041853223379526794,0.5016016525491128,125722339.79947925,2430.378328167245
83,51234.963872751956,0.5305426734621893,0.08338471435332497,51234.96345532725,111.34099510388496,100689.36167868589,0.14821344787130852,0.08318921676423494,100689.35941742786,114.84248021321419,125651573.71547484,-0.041266821663333175,0.5051729225218524,125651577.6286015,2426.2647005202175
84,51072.76972322383,0.5320288295056264,0.07111415718897275,51072.76947885668,96.82714719650073,97358.87267127403,0.17638783929538937,0.07086949699908084,97358.87548647472,99.8455307605939,125581635.01853953,-0.04068724563746584,0.5080113430777975,125581639.12629755,2421.19976711189
85,49461.79669276398,0.5467899002015566,0.06210703569881422,49461.79681975478,86.56433627748082,94983.7070688101,0.19648071293516067,0.061969461087495445,94983.70465219954,89.65958005954057,125527004.84373818,-0.04023447315809969,0.5102860837161858,125527002.24057764,2417.628467364966
86,44514.25407874822,0.5921234020530297,0.055720874804228174,44514.25381772823,78.4191010385497,93722.30222105369,0.207151645109245,0.05621232300807534,93722.29788038538,82.78416184889964,125484488.14251482,-0.039882119619448764,0.5123897375298458,125484483.0926576,2414.7184668858604
87,42519.50012520032,0.6104009973912606,0.04832618577279382,42519.49971278809,69.47666674937278,92163.126565004,0.22034153979652438,0.049060776026300275,92163.1255225611,74.27061594449557,125436642.25551772,-0.03948575349794248,0.5146843475822114,125436652.86562105,2411.5928261668255
88,43685.46741174768,0.5997174289174236,0.0431194601215372,43685.467755860984,63.43698687159438,91511.46176382211,0.22585429687997538,0.043555994205880195,91511.46463642785,67.60505132186107,125398643.67284651,-0.03917068309418048,0.5161984036403832,125398632.74198595,2409.090211785295
89,42843.11061170094,0.6074358010942095,0.039658452115999665,42843.111072818814,59.435681518326454,90948.46853715945,0.23061703486370388,0.04027423603766231,90948.46321845968,63.897413889567055,125372882.13318199,-0.038957293762461154,0.5174792540538278,125372882.65985349,2407.2336561491907
90,42930.98903523415,0.6066305936847255,0.037249650635354285,42930.98864947337,56.52232803034986,90554.5185922476,0.23394965953175828,0.03785933423859925,90554.51494331197,60.93655023819361,125351311.43473326,-0.03877860637763386,0.5186233240933852,125351320.125315,2405.9658422509783
91,43721.88576861868,0.5993837370489008,0.03619500780240538,43721.88574259302,55.61175853098899,90233.49586838942,0.23666531601643437,0.036839996834874725,90233.4982388847,59.85883690760686,125341869.7028629,-0.03870029041069545,0.5194064735195725,125341869.5939098,2405.6446593784117
92,43861.89149862001,0.5981008810040028,0.03381169690217458,43861.89225407623,53.00139865712223,90268.51502403847,0.23636903479238025,0.03437733782948933,90268.5215279738,57.132662332974945,125316997.50409888,-0.038494228376211526,0.520870025456786,125317003.71017703,2404.088632391897
93,42300.86811120014,0.6124042847046707,0.03391532939546478,42300.867802088076,52.775264318852,90389.60212590144,0.23534476810577953,0.03459881350907143,90389.59969748552,57.29789145787557,125318939.95964181,-0.038510244343179734,0.5207253630599364,125318936.38629322,2404.320143904718
94,44885.97570974671,0.5887173766342289,0.03629938099285627,44885.975757072854,55.68094546706588,90047.75147736378,0.23823665972395414,0.036908924712591266,90047.750305979,59.81030960572072,125336659.05032161,-0.03865708674154189,0.5189709721180927,125336656.12789366,2404.8794968492343
95,40393.20915478655,0.629883842615218,0.03400900126770901,40393.2087665654,52.334929064128474,90460.73745492789,0.23474301427942512,0.034871972276379615,90460.73278493706,57.42545228126721,125299441.16836928,-0.03834879085566856,0.5215130537656972,125299453.49776039,2403.277795898191
96,42663.8366059306,0.6090784559068889,0.0336845131689294,42663.83735710533,52.41427100961364,90278.5185171274,0.23628445324762148,0.034441257880803204,90278.51987971934,56.93828827295548,125302378.5395384,-0.03837309398578426,0.5212515920939673,125302386.2010568,2403.1461028610115
97,40972.34349055711,0.624577326095945,0.0342861286006863,40972.34379028549,52.92974418520588,90066.88351988181,0.2380748235392247,0.03498410185945556,90066.88089888428,57.64880577723185,125307764.9817127,-0.03841764865742814,0.5216286744517099,125307762.69502194,2403.984521087173
98,41211.52780699119,0.6223857248462293,0.034274397436045094,41211.52763850857,52.95517362556566,89786.36817658253,0.24044778644299447,0.03484685669963897,89786.37387032791,57.4441541158236,125313175.37797956,-0.038462492161944084,0.5206459304238511,125313174.04297963,2404.089118086716
99,42289.84070554554,0.612505324833282,0.03422712669683139,42289.84062878757,52.93377017839003,89468.77006961138,0.2431345466144148,0.03501652389127673,89468.77298793255,57.41718475635235,125293769.080338,-0.03830170462937077,0.5215425223069554,125293771.51645088,2402.427796156834
