global_round,train_loss,train_r2,train_mse,train_mape,train_mae,dev_loss,dev_r2,dev_mse,dev_mape,dev_mae,test_loss,test_r2,test_mse,test_mape,test_mae
51,140970398.82947367,-0.05168670873534298,140970399.8794952,1.096375591526237,4709.167606362428,124308671.17948718,-0.06923970974176474,124308671.29271674,1.4833297025263454,4984.482022491642,125680806.55946526,-0.041508975539835236,125680798.78112298,0.8811968759328137,2932.9927083984694
52,140320263.64631578,-0.04683649520343569,140320266.58845448,1.1141625398953148,4702.827253575231,123770103.38461539,-0.06460723358064868,123770104.54184045,1.5254559583951,4987.258247967714,125697731.7772733,-0.04164933379487379,125697736.06925306,0.8896635483343454,2943.007969098639
53,139528331.1831579,-0.04092839511791957,139528331.85668933,1.1204994560874835,4680.230211534124,122951368.61538461,-0.05756488908222557,122951369.06147191,1.5525198364435693,4973.295294800391,125390380.79379493,-0.039102310808567076,125390382.13284843,0.8875600951199301,2928.0496105773705
54,139000289.0526316,-0.03698901438177704,139000288.5971911,1.1459344033178527,4674.881859696045,122511277.94871795,-0.053779448793214835,122511277.80008537,1.5862157413615943,4971.862834888057,125360649.62693909,-0.03885595279739196,125360653.65968327,0.8926272162292666,2925.203395647184
55,138295410.61894736,-0.03173039914992737,138295412.24391124,1.1369736806013737,4649.099856664693,121711268.1025641,-0.046898179510290516,121711268.75293326,1.5956232176668774,4951.48854919012,125163211.4029512,-0.03721969020863103,125163202.85128812,0.8855709992334048,2915.4296710298736
56,137788533.4568421,-0.027948910391953463,137788533.1724885,1.1627443772139519,4648.421047621483,121372011.6923077,-0.04398005729976684,121372010.96877597,1.6386579413386322,4959.849859272369,125101232.14327154,-0.03670620689460158,125101239.87777217,0.8980590869991202,2922.5446763917857
57,136936197.69263157,-0.021590208132199473,136936198.73407948,1.1733352833238828,4625.51997658547,120524152.61538461,-0.036687226408113505,120524154.20677556,1.6686568238757904,4943.179899780629,124815649.46727204,-0.034339479777716564,124815642.57469286,0.8980144266047653,2910.859449299516
58,135986818.61052632,-0.014507513168536601,135986818.72104055,1.210015522303119,4615.9381251116,119707040.41025642,-0.029658833366833504,119707040.70797417,1.7302068345766712,4943.583679687805,124661544.11829992,-0.033062539634474364,124661551.8649943,0.9066702861236446,2912.4880661254783
59,135240596.94315788,-0.008940455482442822,135240598.06269965,1.2221756630834022,4593.195133214695,118968061.53846154,-0.023302504780917,118968060.70787106,1.7578207035992175,4927.001327874283,124461249.04502459,-0.03140260636080949,124461244.6716267,0.905355520823793,2899.003455451434
60,134652780.05894735,-0.004555130444671374,134652779.44804814,1.2325793421929825,4584.179423690854,118472501.33333333,-0.01903996655556961,118472502.54790027,1.7797313808484647,4924.891240456452,124429709.68571068,-0.03114123016686876,124429703.92679556,0.9095157811984009,2902.0808613278373
61,133973828.89263158,0.0005100620977759318,133973829.89753602,1.2431932753429091,4564.13213633732,117918566.35897435,-0.014275295747959271,117918566.98803943,1.8161385005698976,4917.826190922027,124279012.0776895,-0.029892477167175358,124279014.61141983,0.9111045651119192,2892.236168501882
62,133498203.32631579,0.004058392978399272,133498203.8208808,1.2556548950532138,4556.389209892446,117428005.94871795,-0.010055729615814135,117428004.71791446,1.852825621433919,4916.191147821072,124304723.48038845,-0.030105504189256616,124304720.97298357,0.9150681746341672,2898.4751550109377
63,132623319.20842105,0.010585331191922953,132623318.66515261,1.2962229062523218,4552.468159551436,116933143.38461539,-0.005799175117713995,116933142.21970844,1.8678068498245175,4912.948973900042,124109893.65216294,-0.028490964468204316,124109891.50288656,0.9252515983172457,2897.666044839019
64,131961367.04,0.015523711211972158,131961367.3440977,1.303311313443867,4524.429209456632,116235757.53846154,0.00019936100269879464,116235758.7910571,1.9125990928265713,4894.716839067829,123930127.82418968,-0.027001250086160278,123930124.9354463,0.9236910945302294,2888.1716342521413
65,131377841.14526317,0.019877026840399048,131377839.34108722,1.3086682397242881,4511.102570615458,115780908.3076923,0.0041117699105717165,115780906.29309952,1.9356214112273653,4890.684351130556,123761312.82128894,-0.025602288526632044,123761309.67758983,0.925637678997574,2885.639496813748
66,130770155.0568421,0.024410559743255678,130770154.61818048,1.3126044184657735,4493.99502907775,115205510.76923077,0.00906101728991715,115205512.05734488,1.937976225915348,4870.721634685229,123707399.5512675,-0.025155584589592994,123707405.09400557,0.9263440261288922,2882.51249529564
67,129939751.20842105,0.03060564339751537,129939751.97757082,1.3579416627090561,4487.716899903495,114604869.94871795,0.014227430585300183,114604870.34319343,2.0253511451192745,4880.776633992027,123496098.27594905,-0.023404539566143967,123496103.27864224,0.9463258046317823,2889.6534160672227
