global_round,train_loss,train_mse,train_mae,train_mape,train_r2,dev_loss,dev_mse,dev_mae,dev_mape,dev_r2,test_loss,test_mse,test_mae,test_mape,test_r2
82,3040380364.151899,3040380368.487249,34455.49999240984,11.180256882081546,0.7640122533925418,4159857893.0526314,4159857928.2049246,37885.096779584885,12.06297463017214,0.6809933621543016,3397687701.6804137,3397687682.6303663,37669.992120006464,31.872967963601024,-27.156426851674173
83,2860083478.14346,2860083487.579147,33551.8101582336,10.953369480716724,0.7780065072322434,3991454585.263158,3991454634.6578336,37175.89796047462,11.946905522733786,0.6939076898558205,3564329374.978938,3564329361.184755,37965.62776526438,32.16374011987469,-28.53737609449111
84,2746333911.493671,2746333914.013649,32859.55172437253,10.679924200108298,0.7868355030452368,3965920377.263158,3965920444.8880663,36571.587938622426,11.585830483002036,0.6958658278906169,3567346233.4700465,3567346266.4041886,37662.1669245708,31.98729739739843,-28.562377000714385
85,2617537479.8312235,2617537473.4307423,32296.902586384665,10.621188561857656,0.7968324041235529,3820243833.263158,3820243808.246468,36189.314386480735,11.705267721199272,0.7070373185688477,3662956323.805776,3662956314.555138,37750.88702936807,32.04225597816979,-29.354691532979807
86,2518929705.586498,2518929723.4157996,31981.34368918113,10.609820547224828,0.8044861243505508,3749090950.736842,3749090935.4167647,35973.53150328837,11.733788526663039,0.7124938123064262,3817261688.7516713,3817261753.026713,38318.64965361529,32.50189618844623,-30.633411120230654
87,2376247144.236287,2376247147.0893354,31252.05867909681,10.569952363323631,0.8155608372438531,3617005770.105263,3617005755.325311,35147.40600687579,11.609762905380368,0.7226230162209457,3925127979.2316813,3925127938.619822,38486.81174993497,32.61688557532825,-31.52729150245291
88,2245296514.1603374,2245296513.8362527,30696.85503344697,10.43567404046642,0.8257249420968227,3486529145.263158,3486529212.6045613,34797.71703580806,11.654455831397202,0.7326288587111094,4073530042.196494,4073529988.2623725,38670.25469203241,32.73595111428997,-32.75709007303965
89,2170448321.8902955,2170448333.8333,29957.844587099702,10.17080955148342,0.831534495901222,3440371267.368421,3440371345.504663,34177.87580521483,11.488263584434733,0.7361685627701904,4134952857.845378,4134952782.3849444,38535.356383361315,32.62130430766475,-33.266096953977794
90,2089145770.1265824,2089145774.2435305,29549.536454976358,10.171353759114696,0.8378450246856697,3368600090.9473686,3368600164.437748,33720.15263970275,11.413368560137569,0.7416724726540193,4213212116.47774,4213212177.3468423,38544.75908256085,32.65728412530582,-33.914627700628145
91,1976040059.6793249,1976040063.6040468,28839.350367428382,9.91656500051611,0.8466240452512863,3317247218.5263157,3317247259.715253,33300.16254215492,11.320016706441137,0.7456105680798414,4329130105.9785595,4329130085.716567,38658.37089742756,32.73823506483142,-34.875232209540656
92,1815340035.7805908,1815340034.1419675,27695.733359557165,9.617599935732928,0.8590972338778058,3178300510.3157897,3178300455.827269,32072.324653638036,10.873302887640083,0.7562659686999387,4415926584.501451,4415926608.942069,38403.863463531816,32.59086325411196,-35.5945096080114
93,1742341704.9113925,1742341706.9861517,27295.838579048086,9.594656032460934,0.8647632061062038,3143995324.631579,3143995327.225389,31808.21055709688,10.934864844023663,0.7588967229047757,4582745435.144911,4582745431.499171,38672.69686115644,32.76512682555473,-36.97692683217934
94,1669949144.0337553,1669949135.6573162,26604.718165955965,9.376699654168702,0.8703821608778107,3087677776.8421054,3087677812.84888,31267.502426059622,10.767228505158535,0.7632155388891547,4546301644.72897,4546301740.153632,38051.64570105585,32.24189098412559,-36.674920224914814
95,1503209775.7974684,1503209795.1821415,25457.624262498903,8.984250959357764,0.8833241077596504,2911201219.368421,2911201257.029476,30126.443883431584,10.395270753047804,0.776748980103295,4816077448.701223,4816077521.34319,38548.57994141364,32.71450925034912,-38.910535372313106
96,1478766237.7046413,1478766252.0762112,25498.1214264083,9.167130242447367,0.8852213626940851,2864143744.0,2864143778.0192165,29988.856535572755,10.49917401068696,0.7803576726172327,4759749299.093454,4759749270.130062,38382.27262807022,32.55934902466232,-38.44374665212758
97,1392107771.949367,1392107780.281799,24461.30556789732,8.756398735684696,0.8919476057968139,2763617428.2105265,2763617449.74396,28872.72871008672,10.055921744667879,0.7880667257992247,4885069926.186909,4885069928.113985,38035.20473105057,32.29635900878378,-39.48227116324342
98,1291371680.1350212,1291371688.6387014,23426.43712677835,8.441551939329416,0.8997665232965099,2662187297.6842103,2662187272.056391,27939.36055320031,9.891899938462506,0.7958450923969911,5034202158.621768,5034202200.576543,37806.84885339813,32.11049014257071,-40.71812104499747
99,1242997479.6962025,1242997487.4105713,22960.462898374106,8.35454396628703,0.9035212241425234,2659078278.736842,2659078233.040416,27607.300820814937,9.81459776577811,0.7960835149826982,5073168708.479758,5073168775.190886,37527.419834921646,31.876241727294737,-41.04103462925595
100,1108328438.0084388,1108328446.5621676,22210.43057714434,8.169864607268773,0.9139739437485953,2619879706.9473686,2619879740.125806,27166.093863449598,9.69267680570292,0.7990895261612349,5202847632.708286,5202847764.382791,37794.24030408548,32.072549114367206,-42.11567636046834
101,1059781747.8481013,1059781743.2850642,21369.774977099543,7.8536416885687474,0.9177420338304572,2542469335.5789475,2542469343.891181,26269.472884266,9.470565404833257,0.8050258900138743,5324544468.606886,5324544497.608669,37532.49702745164,31.87429752467676,-43.1241696321364
102,962219450.8691983,962219448.3000357,19890.50054999947,7.21672841478186,0.9253146080997827,2472281748.2105265,2472281766.196473,25008.338568423922,8.961618454740995,0.8104083582532606,5427486165.995208,5427486155.833298,36741.17434873664,31.150610711915633,-43.977240761837145
103,875731818.3966244,875731816.5136737,19380.539496416783,7.279921626174922,0.9320275909706839,2377273714.5263157,2377273733.0942245,24514.983264320774,9.077187279279194,0.8176942304468237,5647717999.22714,5647717924.657194,37643.146106386564,31.90914114140741,-45.802287755121796
104,844679890.092827,844679893.880785,18760.650943763147,7.014499983683156,0.9344377740273554,2343815646.3157897,2343815668.2180715,23653.38694746871,8.67042552263442,0.8202600259545493,5717393297.321731,5717393437.88517,37260.49354648482,31.58710830750891,-46.3796844068463
105,776489190.0759493,776489192.045229,18351.06685175574,6.938458158484976,0.9397305887792677,2337024235.7894735,2337024270.061329,23564.44252714358,8.681504143922654,0.8207808372730235,5824988600.323874,5824988535.193525,37282.342105399286,31.58831187838241,-47.27131829728562
106,718263482.5991561,718263486.2555766,17149.67590314225,6.485573917407168,0.9442499420964863,2228618152.4210525,2228618115.8107767,22278.379792175794,8.126281242494718,0.8290941699363277,5883095465.310632,5883095344.228116,36702.86016139823,31.12176796587996,-47.75284581570075
107,645089678.9873418,645089675.6717995,16169.353629775189,6.075240009278883,0.9499295349689196,2187066428.631579,2187066445.8331437,21372.355948573666,7.799685522673982,0.832280638985322,6022380185.102787,6022380139.240662,36055.807926081274,30.571222215198873,-48.90709026329078
108,574188611.7805908,574188605.6711929,15528.242171861955,5.9907642589758945,0.9554327226341609,2196504677.0526314,2196504665.3887877,21166.38963043062,7.952030628920049,0.8315568511205296,6205086736.982721,6205086763.319207,36636.84228706528,31.084611788897053,-50.42116871213789
109,556279369.3164557,556279367.895393,14642.517849096266,5.71744159610249,0.9568227989252636,2206873054.3157897,2206873040.6952934,20205.401639819145,7.495256876914399,0.8307617324882262,6189141294.97692,6189141227.086018,35921.48245845453,30.467658901198725,-50.28902904348743
110,517340088.3037975,517340089.3166613,14495.182633515651,5.841811369000869,0.9598451814868532,2169781928.4210525,2169781936.5435925,20029.21749700998,7.706965277777307,0.8336061345408041,6401819849.403456,6401819857.3667755,36602.49958493938,30.96855347293711,-52.05148364666583
111,432179868.15189874,432179865.6036287,12832.965813301787,5.147018955922485,0.9664551338148326,2093304026.9473684,2093304046.761488,18628.220607268184,7.1393148420697585,0.8394709873578932,6479600565.256653,6479600409.660817,35607.75016971915,30.194591009379,-52.69604625386066
