global_round,train_loss,train_mse,train_mae,train_r2,train_mape,dev_loss,dev_mse,dev_mae,dev_r2,dev_mape,test_loss,test_mse,test_mae,test_r2,test_mape
44,149855904.15954417,149855904.60780588,5481.724879592091,-0.16532579275049897,1.0875252900038614,161616518.76923078,161616520.00815248,5811.094626642859,-0.18448473719926106,1.072992425776032,127952314.18968344,127952311.97894944,3022.6539439007365,-0.060332864364042615,0.867836286782171
45,149462788.42165244,149462788.92731485,5471.844405998428,-0.16226880381696462,1.0832471665841181,161250496.6153846,161250498.85003197,5801.381738696743,-0.18180217433214896,1.0666365398323454,127843992.22373566,127843992.38556191,3011.1970373952295,-0.05943522661958167,0.8620452850159062
46,149030020.12535614,149030021.15617126,5463.603418716211,-0.15890346798115207,1.0830570687048113,160825800.0,160825798.80173182,5793.208100787441,-0.17868955487298743,1.0680966476679277,127710341.50283769,127710345.07620454,3004.953388808083,-0.05832769966556506,0.8619152151161247
47,148683942.72364673,148683942.63381505,5455.5347759719225,-0.1562122545152953,1.0865065465623196,160494178.66666666,160494180.78936353,5785.652770952787,-0.1762591320782707,1.0709994505527307,127578533.76567033,127578548.1950513,2994.944278972674,-0.05723550709517622,0.8570551401488733
48,148207347.8974359,148207348.47296187,5447.313343852953,-0.15250611113862944,1.0860118399571084,160029775.7948718,160029773.34937418,5777.960977517117,-0.17285549781810117,1.0698489452161657,127435019.0614201,127435021.27278142,2987.2069677689788,-0.05604610840241331,0.856585660224504
49,147651267.1908832,147651267.27468097,5438.655034129497,-0.14818185201172818,1.099238082427519,159487443.2820513,159487439.9211515,5769.670519898108,-0.16888074531031072,1.085015231319501,127286531.1169126,127286532.2892655,2979.995897604495,-0.05481558941621589,0.8583442375299334
50,147248569.61823362,147248569.53578687,5433.594617266981,-0.14505035003291877,1.1030528595060394,159096418.46153846,159096418.73457548,5765.079297873592,-0.1660149576581731,1.0893743927482227,127197412.52566528,127197414.36015977,2981.4309388455654,-0.054077074671359915,0.862618298695733
51,146732458.25641027,146732458.61707425,5420.656773341515,-0.14103691214356773,1.099265597775288,158581374.35897437,158581373.17930275,5752.070732862247,-0.16224019750895025,1.0856105360195543,127010069.42968848,127010070.5359823,2965.534883921422,-0.05252456803323291,0.856844847381014
52,146351267.2820513,146351267.5089172,5414.336224389418,-0.13807265236705035,1.106213823463447,158214027.4871795,158214024.2177839,5745.528880241578,-0.1595479031932261,1.0919144692005438,126930521.94425526,126930534.26137584,2962.3287077918976,-0.05186545586425417,0.8580398050042539
53,145827858.37037036,145827857.84475937,5402.721104567237,-0.1340024571791174,1.1077376299591344,157723166.97435898,157723166.7906128,5734.813136587791,-0.15595041742508942,1.0921183464386222,126740027.76642704,126740025.55886763,2945.403603582488,-0.050286722075918666,0.84907126283817
54,145316310.67806268,145316311.08855522,5393.197840111295,-0.1300245116269374,1.1062147780723148,157233685.12820512,157233684.09323555,5724.946763416054,-0.15236300702832306,1.0914214594670786,126599564.88586202,126599565.48836386,2942.428405556647,-0.0491227381933097,0.8518673142835274
55,144950764.8091168,144950764.99763292,5386.305311174794,-0.12718191233593346,1.1084415025470786,156879688.2051282,156879687.54181254,5718.941144575258,-0.1497685722999884,1.0952883699881941,126529746.71938454,126529752.38178493,2941.700542391925,-0.04854420131402959,0.8541872090226602
56,144453043.5099715,144453043.58226392,5382.809279205111,-0.1233114769036312,1.134539580537791,156433841.43589744,156433840.3528187,5717.286466845156,-0.14650096580493588,1.1226643219175128,126357016.75066213,126357021.57919388,2932.165620039895,-0.04711279187841555,0.855377176644997
57,143911987.1908832,143911986.92369732,5368.084272839364,-0.11910405323742879,1.1260444685029887,155881808.41025642,155881806.60388437,5702.338217935883,-0.1424551198109829,1.1136475130098948,126169548.03758356,126169558.07397896,2921.16716710982,-0.04555929345096277,0.8507028505662821
58,143359385.16239315,143359384.6133072,5361.741457234346,-0.11480684701711685,1.1430419161489513,155346655.3846154,155346657.147194,5696.152740180528,-0.1385330185088498,1.1280592087354722,126071413.28591247,126071411.6025301,2920.4947483315414,-0.04474595973632289,0.8558753288938048
59,142857072.0911681,142857070.87878004,5352.610590073446,-0.11090070029284016,1.1447682718995469,154867681.64102563,154867682.1261867,5687.112259235925,-0.1350226186941883,1.12955602569308,125893707.80249716,125893703.94214456,2913.8016287300534,-0.04327330738919666,0.8571522595463936
60,142464420.46723646,142464420.5241832,5346.722756429442,-0.10784732987716072,1.1513855770565786,154499818.25641027,154499818.09904942,5682.152696842865,-0.13232654947127243,1.1378938140303323,125782681.69554798,125782680.24412018,2911.564762690161,-0.04235326089751745,0.859187590424887
61,141832704.98005697,141832704.75419617,5331.647437011002,-0.10293491296319424,1.1461520186092657,153871768.6153846,153871768.13712654,5667.007310458208,-0.1277235819401148,1.1329452323560434,125660605.46020935,125660599.04556368,2899.1631651338735,-0.041341581585527365,0.8544982825595736
62,141251675.008547,141251675.28348643,5321.295428121029,-0.09841664836535768,1.1642527075216071,153314769.23076922,153314765.8085045,5656.894039136083,-0.1236413213098031,1.151019732014649,125437897.47055115,125437898.18363245,2884.862013387626,-0.039496073370976825,0.8513126346449768
63,140810995.92022792,140810995.82130107,5315.036678607526,-0.09498978877671482,1.1661574535470967,152951569.02564102,152951568.34478906,5652.981950927717,-0.12097945325114967,1.1560133344668282,125388540.08904023,125388538.087706,2889.407450876315,-0.03908702932097485,0.856875094286465
64,140221027.82905984,140221028.51413006,5304.418488777467,-0.09040202080237147,1.172382785915519,152342307.2820513,152342306.97469744,5641.072422093509,-0.11651418699122629,1.1572551964090751,125207993.6054988,125207989.8991993,2880.2752011136668,-0.037590837693687096,0.8559395040838889
65,139642094.6096866,139642094.1047643,5293.538180446405,-0.08590004804854279,1.172151989794608,151825976.0,151825974.6322529,5631.82808975504,-0.1127299960006205,1.1575572562389425,125054662.20860134,125054660.47708307,2884.884587989462,-0.03632020629336852,0.8649061832152536
66,139126131.25925925,139126131.3412729,5281.679318845639,-0.08188776225994521,1.179596760647512,151328870.56410256,151328870.63383538,5620.804539478253,-0.10908672921764206,1.1682160190455972,124881721.52478245,124881715.84602532,2874.896405602602,-0.03488702487452855,0.8641523218455781
67,138547030.92877492,138547030.80756894,5273.319311186385,-0.07738449767195998,1.1925263121653162,150792736.0,150792737.68266094,5613.508939413426,-0.1051574199010965,1.178598315655592,124751873.74120317,124751871.3024229,2865.7448957915085,-0.03381101120419605,0.8633612510332976
68,137759474.1196581,137759474.5238762,5259.761539661057,-0.07126021679672978,1.2134288864273435,149959564.7179487,149959564.55887654,5600.077292652645,-0.09905110819164098,1.2026331324278812,124539777.6165973,124539775.88141364,2855.270750642274,-0.03205338962003701,0.8642618982581975
69,137693002.7122507,137693003.1797333,5252.0246358588865,-0.07074331509698562,1.1923608786386777,149938999.3846154,149938999.1434049,5592.055083308811,-0.09890038461004713,1.1792814450728872,124534965.42540044,124534958.92117992,2859.5326663097076,-0.032013471769682056,0.8627891668955848
70,136933689.4814815,136933689.7890988,5242.165594596676,-0.06483865968015046,1.2066120545192074,149208552.2051282,149208549.56930372,5583.2079018082895,-0.09354693205598341,1.1906993094828713,124345812.39803255,124345804.70366046,2856.953121028101,-0.030445962514343616,0.8720861620522928
71,136245828.1025641,136245828.65941343,5228.576043251737,-0.05948963911035232,1.2172160662688738,148580808.0,148580807.80589938,5570.106943346954,-0.088946223306547,1.2016231146175558,124266582.23912221,124266582.36139442,2857.6403921696137,-0.02978945188317672,0.8755338597027453
72,135689617.98290598,135689617.3537967,5224.929460235772,-0.0551643682286278,1.2425721783269352,148080356.92307693,148080357.28681895,5567.849526559325,-0.08527842993032331,1.2267862753687262,124143624.28074159,124143620.19040278,2861.0070786380215,-0.028770472007319192,0.8858156942560076
73,135139475.98860398,135139476.1016063,5213.846203541698,-0.050886299956901304,1.2411754101783716,147622387.69230768,147622388.56563798,5557.049603625523,-0.08192198493122205,1.2256953528220795,124016972.22550133,124016969.99898094,2857.152512230418,-0.027720929735158828,0.8870879527597646
74,134356176.2962963,134356175.84790713,5205.277171764427,-0.04479511528524904,1.2834159657125943,146804175.7948718,146804175.09728178,5550.67252944571,-0.07592531228296862,1.2735154948383045,123815963.77248077,123815970.32259105,2843.4299217999123,-0.026055257897686923,0.8870594944579987
75,134022784.52421652,134022784.6011934,5185.202456368761,-0.04220256199287431,1.2448408503251416,146498372.7179487,146498373.44070148,5530.217929485959,-0.07368409712246793,1.2327730860626385,123719456.17152226,123719462.6032061,2835.1691948945954,-0.02525550441964497,0.8779392843849191
76,133259027.66951567,133259027.78783482,5184.628120028032,-0.036263353148718425,1.2946133571536989,145761199.17948717,145761200.05605307,5529.633615908858,-0.06828136587481137,1.282225164322509,123623795.89658217,123623796.73477446,2845.1040171198233,-0.024462727308179444,0.8948591237140249
77,132612311.86324786,132612311.7152099,5178.840622984804,-0.031234289249044256,1.317339306025507,145151716.92307693,145151717.17831197,5525.974116651914,-0.06381447618907754,1.3060234006203966,123489590.65178458,123489587.41670337,2846.41440598639,-0.023350543022849335,0.9021119917410508
78,131952030.4045584,131952030.21374871,5167.374811746061,-0.026099736385461814,1.3241266167512935,144538768.41025642,144538769.4926298,5515.726638029688,-0.05932219298464059,1.3121143777771453,123313978.01866566,123313974.79133828,2854.7032020988972,-0.021895252100849527,0.9164066847905574
79,131514739.988604,131514740.0150353,5159.458264198362,-0.022699232756249632,1.3374665837615252,144153183.3846154,144153181.73759535,5507.412631417768,-0.0564962268602236,1.3238944905608374,123247654.46891159,123247665.41603301,2843.784166420464,-0.02134575042507514,0.9125842560820963
80,130687199.61253561,130687198.5854679,5139.326825436297,-0.016264015038480295,1.3305477877318186,143325832.6153846,143325831.68631777,5488.415071583616,-0.050432592350522,1.3163704176919937,123133893.43246311,123133890.59427631,2856.0100783373523,-0.02040290554185309,0.9249973225514154
81,130140757.72079772,130140757.85353126,5122.217542263668,-0.01201472315504204,1.337048110398821,142896485.94871795,142896487.21041864,5473.226449710412,-0.04728593396016878,1.31807620793837,122978259.53184512,122978270.95593214,2836.620430499191,-0.01911329526186112,0.9153583672617184
82,129941924.96866097,129941924.97454695,5122.272085281132,-0.010468537284464174,1.3394036022371314,142676353.23076922,142676352.62875962,5472.523893980644,-0.04567257134048308,1.3181244255119486,122935166.2005297,122935160.59662035,2842.6572573383123,-0.018756042391117056,0.9217302896681627
83,128921877.47008547,128921876.95746736,5113.158462393989,-0.002536328892290385,1.3990153103191902,141749540.7179487,141749540.93297228,5467.137445502079,-0.03887998412314597,1.383861858813764,122722596.37608778,122722588.44183677,2833.639831200571,-0.01699447014377231,0.9289193008526925
84,128552241.8005698,128552242.33639213,5107.30822028581,0.00033806407180303477,1.4088611540385698,141399243.8974359,141399242.81519482,5460.798779074437,-0.0363126551523445,1.390843780033258,122621954.94866945,122621962.08406587,2836.1882510821806,-0.016160585765166546,0.9319357621249559
85,127713781.81196581,127713782.23605947,5086.632078084534,0.006858188745348492,1.409469871042555,140735564.30769232,140735564.5311098,5442.743545410104,-0.031448568251639,1.3911048500209864,122487448.29234456,122487439.7471217,2842.132559483192,-0.015045807511871567,0.9435855455590576
86,127345726.54131053,127345727.21255973,5078.031895366967,0.009720298270883276,1.4167093449330321,140388410.87179488,140388412.8423509,5435.7022307603975,-0.02890429940581085,1.4038169582537297,122354821.41682431,122354827.092833,2835.399955872134,-0.013946854680163545,0.9444930364504195
87,126394523.71509972,126394523.4226705,5076.599454894272,0.017117152691941584,1.4636509442271366,139455228.5128205,139455230.01702413,5435.1326410151205,-0.02206501828801266,1.4542749219587272,122364234.11527304,122364229.72645152,2860.1425052295945,-0.014024773721117878,0.9686907903060782
88,126245060.76353276,126245060.7618061,5069.5067054261735,0.018279420499901722,1.4508330835620298,139313571.07692307,139313571.8112633,5427.7984767914395,-0.021026807697818617,1.4357122247346483,122296960.88661875,122296961.6328106,2846.251278320978,-0.01346732720602617,0.958827540292695
89,125105248.02279203,125105248.28960076,5042.820465873779,0.027142954280808373,1.4812322410465704,138245229.94871795,138245230.13673258,5403.368925632288,-0.013196949663926372,1.4656092121666413,122060016.33749527,122060010.93449973,2843.3482011286756,-0.011503731482219504,0.9689603182686206
90,124523685.01424502,124523684.73061784,5039.878873634123,0.03166537211399445,1.5107579762587255,137809750.97435898,137809750.9708201,5402.069118115669,-0.010005330234393206,1.4952274905906902,122004811.92155379,122004815.3506382,2855.8937960706603,-0.011046329106045416,0.9857448844148629
