global_round,train_loss,train_mse,train_mape,train_mae,train_r2,dev_loss,dev_mse,dev_mape,dev_mae,dev_r2,test_loss,test_mse,test_mape,test_mae,test_r2
123,20444178.153846152,20444178.190996744,0.9262152181859483,1989.8190434395078,0.20652037112409893,26187083.756410256,26187083.873438746,0.7548032376412613,2146.101936595562,0.004347565411306653,120550095.46979442,120550085.75218314,0.8832083737702134,2473.488999438806,0.001008924747114892
124,20379365.790598292,20379365.700353097,0.9099841660762931,1994.860264866106,0.2090358740972188,26193015.717948716,26193015.92966034,0.7662994923343243,2154.001342059328,0.004122024215208131,120415607.40118553,120415610.13635798,0.9038063078657464,2484.884507143538,0.00212331582539782
125,20685872.854700856,20685872.715668593,1.0154811794858656,1998.5854259591836,0.19713972104629773,26125351.03846154,26125351.25121641,0.7900843620631786,2146.519145757724,0.0066946856903825624,120280067.1181738,120280074.32911101,0.9203478979815364,2480.938709302814,0.0032464926441621023
126,20085217.93732194,20085217.832364526,0.9313406800207298,1998.1581281742183,0.2204523438102931,26051667.923076924,26051667.7304445,0.7832567578810467,2160.651085572365,0.009496188034064046,120198938.93706647,120198933.69634892,0.9245363708519624,2494.0109633350603,0.003918900029556638
127,19814119.52849003,19814119.46873853,0.9821891517900387,1994.7470450595,0.23097421595155387,26096659.230769232,26096659.696358524,0.8023399255670457,2164.1989231889065,0.007785559977281142,120306144.93454407,120306150.73163964,0.9466055959521441,2507.2687440666036,0.0030303991155823384
128,20335893.064102564,20335893.02991301,1.056753128114111,2013.2305908967287,0.21072313577556967,25779934.653846152,25779934.632355236,0.8309767508462482,2157.42804195942,0.01982768282662939,120024126.92268886,120024133.376129,0.9739775538066169,2505.477020475359,0.005367459429257204
129,19941647.66096866,19941647.58676187,1.0092879152272878,2003.6414373170721,0.2260245934812819,25911233.282051284,25911233.669520374,0.8205774651316531,2160.6601837621283,0.014835595634163479,120192952.50851305,120192955.33021678,0.971041736755524,2512.117578239696,0.003968442378476045
130,19416838.367521368,19416838.347329035,1.0741283640575998,1997.307518551662,0.24639349442928848,25962063.551282052,25962063.495627716,0.837648898419462,2165.2895649977218,0.012903007784440201,120142073.86404338,120142065.86734219,0.9711584075304358,2508.979926446209,0.004390160197413451
131,20056541.21082621,20056541.279128235,1.0971107784834147,2014.7766169649244,0.2215653384538926,25824103.153846152,25824103.49945359,0.8538719751743582,2168.6571872509444,0.01814834959991196,120007591.44431832,120007596.8020583,0.9977837571933077,2519.7358452783346,0.005504496991767582
132,19258440.407407407,19258440.400712974,1.0795934466230057,1998.0971834622217,0.25254123696613284,25964947.64102564,25964947.755703773,0.8489966270599854,2174.1534098325633,0.01279334606797744,119961768.64547862,119961765.81794788,0.9862906452926673,2515.173209536886,0.005884295511284887
133,19811730.022792023,19811730.024199627,1.0172949616272395,2015.2827718629053,0.2310669550946114,25757689.833333332,25757689.773142047,0.840929531630666,2172.4647093094313,0.020673448943228423,119962666.12838946,119962670.34438491,0.9933864414761955,2523.1161297420367,0.005876799756866502
134,19289306.846153848,19289306.8095921,1.098636801819869,2007.2922390200133,0.25134324962551546,25832980.897435896,25832980.680840626,0.8674729037403943,2177.1233990253545,0.017810832551316325,120041589.61483163,120041590.56559186,1.0155749897406614,2533.5319698053254,0.005222792784156383
135,19243450.025641024,19243449.92862069,1.1002827379130273,2017.9118419772922,0.25312304730457436,25743819.410256412,25743819.59078779,0.8838750852187195,2185.3352096768526,0.02120080360768628,120067775.78357926,120067775.3048493,1.0463738926901658,2553.6976774987634,0.00500580147583185
136,19935894.676638175,19935894.541826766,1.2317538019779588,2042.1768234706672,0.226247880713342,25494655.282051284,25494654.998079736,0.9201824132422445,2183.0975025128096,0.030674227015273114,119839073.42741834,119839080.84792317,1.062240556302583,2548.4694087855646,0.006900978239941735
137,19388897.002849,19388897.000351354,1.2197421272903137,2029.1049536490373,0.24747795424092844,25568917.025641024,25568917.415902924,0.9152684278300168,2183.999382404181,0.02785071457450472,119840004.65329802,119840008.80096407,1.0537361410556583,2546.2747013334038,0.006893288350711679
138,19150945.745014247,19150945.56084097,1.289710180071792,2036.2913579424562,0.256713327663585,25581959.025641024,25581958.953934755,0.944831381038923,2198.013363410265,0.027354865584409804,119889392.52591752,119889393.43988466,1.074712846026844,2560.2219210415533,0.006484040914441325
139,19139285.824786324,19139285.861457977,1.2293180496294018,2038.3823120568552,0.2571658640215051,25664015.166666668,25664015.265129928,0.9422089394122302,2206.639538639631,0.024235023512276466,119732562.19876403,119732569.42668584,1.0986203745155487,2580.0383933918038,0.007783631774069821
140,18741616.371794872,18741616.366842955,1.1817875034705436,2024.917717902579,0.2726002160436056,25753377.82051282,25753377.86300681,0.9236098649658311,2203.837277559134,0.02083739097834103,119968127.24353638,119968135.12830895,1.087299597542127,2584.042685143207,0.005831513431815427
141,19073670.448717948,19073670.57635331,1.3103703138192613,2044.1558485452267,0.25971252506050757,25465880.102564104,25465880.391693454,0.9619942684589636,2202.441549582359,0.03176825898314295,119719778.5440787,119719767.50460209,1.1003504625008156,2572.720828235909,0.007889720507461728
142,19313375.589743588,19313375.52237513,1.335884740376954,2054.8715492986207,0.250409094527268,25475390.256410256,25475390.03611863,0.9749696360347525,2208.0291847693616,0.03140669521874073,119718776.32765797,119718778.44864155,1.1073083201125664,2575.583850065326,0.007897916752792722
143,19254226.81054131,19254226.86361918,1.2830089166460192,2057.668086319907,0.25270477280593073,25328601.53846154,25328601.342709705,0.9689591174469843,2208.4296296070784,0.036987710679226016,119549806.40988776,119549812.45493183,1.1206042198445687,2585.8275838354703,0.009298127450977245
144,18719670.69088319,18719670.69935723,1.24908544398769,2047.6885023874436,0.27345197148857014,25460744.692307692,25460743.960174736,0.9679754439847997,2214.961974574969,0.03196354993540895,119521016.44721907,119521012.05061345,1.128385593442735,2592.910311466659,0.009536794613245969
