global_round,train_loss,train_mape,train_r2,train_mse,train_mae,dev_loss,dev_mape,dev_r2,dev_mse,dev_mae,test_loss,test_mape,test_r2,test_mse,test_mae
55,13684759932.342857,2.4394688318096707,0.1516432474810242,13684759991.141527,51264.420173357554,13730898997.894737,2.5395716335282197,0.14499894127219182,13730898923.714375,51586.07960521548,462325052.97717243,11.253402933933494,-2.8312590037738965,462325052.63057715,13148.071858323678
56,13507436737.097143,2.576900877519963,0.16263601011807338,13507436809.731188,51178.327595254355,13544057317.052631,2.696424729113351,0.15663326902353591,13544057308.995478,51502.66229088683,485486463.2331946,11.659908357008756,-3.0231963090920804,485486479.3823556,13619.438134168282
57,13338061086.72,2.647120295155894,0.17313608602716546,13338061109.852526,50988.95116290092,13392895029.894737,2.7667801458062327,0.16604589991674767,13392895059.45016,51336.52032883544,510589980.3919788,12.021309808157769,-3.2312274851672305,510589983.0434253,14027.372789956173
58,13167016720.091429,2.7751108059054697,0.18373960723579053,13167016743.94142,50879.135045685085,13212711936.0,2.913846385402957,0.1772656137898796,13212711940.876953,51227.34496659981,537754402.7968218,12.470056582165952,-3.4563372229015075,537754388.0714172,14548.985732137367
59,12999901435.61143,2.836662683939146,0.1940995558003803,12999901424.583117,50686.953413408824,13040946337.68421,2.9628431507944697,0.18796116327355872,13040946646.09182,51014.480976719606,563411226.1198133,12.833326731140856,-3.6689538848329937,563411230.7230849,14961.175878056423
60,12815004086.857143,2.976568205563002,0.20556186153297118,12815004089.317215,50519.40758367947,12859609034.105263,3.1146677068684285,0.19925276401739966,12859609059.526354,50855.88469135134,594515866.2610669,13.283810455082987,-3.926716244237764,594515887.5109988,15483.012840891624
61,12613707723.337143,3.0596053615949867,0.21804078838746488,12613707737.937096,50308.63189188957,12664671339.789474,3.204432158066493,0.21139122663759102,12664671285.326248,50657.25410894344,625780517.6420734,13.662860157085625,-4.185804419547374,625780532.9364284,15926.570529637052
62,12473357838.62857,3.170628967720042,0.22674147764415153,12473357768.56192,50227.08737075397,12527683584.0,3.3182348638985446,0.21992121318042612,12527683872.451479,50580.22196740853,653647052.3697819,14.076382513946958,-4.41673262687517,653647063.3645575,16424.468675978806
63,12284979913.874287,3.2207161198722054,0.23841954356484796,12284980026.755846,49969.576513308115,12342636382.31579,3.3557644687748147,0.23144382700569277,12342636328.759375,50318.915418436656,688806097.9997478,14.494541357212732,-4.708093467314477,688806110.497081,16907.539662182535
64,12098297042.651428,3.3348586461399514,0.24999254461916098,12098297076.057037,49790.87096382822,12160162923.789474,3.478347084832677,0.24280614074821127,12160163126.012474,50144.42195843395,723741839.667045,14.902123904198453,-4.997603665805553,723741837.270612,17374.546777700925
65,11922787901.44,3.469139324954651,0.26087285228673396,11922787894.785822,49656.53113394192,11985450307.368422,3.626095827410449,0.2536852241895503,11985450365.61198,50023.86565721662,762969344.088788,15.45800498932087,-5.322679574075959,762969343.4903711,18033.22727031999
66,11723580413.074286,3.5438194322660497,0.2732222855593448,11723580391.738903,49404.83401107379,11782460954.947369,3.7054431429620602,0.2663250417567714,11782461076.115726,49768.22565863007,796217043.4526422,15.740700069642852,-5.598201314548947,796217057.372301,18363.911021719123
67,11586557682.834286,3.6335261187885126,0.28171670863231446,11586557682.04555,49229.5229979338,11648197847.578947,3.7751012615388393,0.274685397615572,11648197849.080332,49575.08662957894,832202590.3332072,16.25933299597892,-5.896411169805033,832202587.6876414,18950.88362944275
68,11363053459.748571,3.696522478355323,0.29557236194405356,11363053490.526342,48964.329039891105,11443258853.052631,3.8340950626286854,0.2874466226186362,11443258815.530394,49336.108956399716,877816570.5274309,16.632405527149103,-6.274411390974492,877816567.8373513,19408.938587163222
69,11225126596.022858,3.824139674257993,0.30412284096596043,11225126547.790691,48892.50929755756,11314367973.052631,3.9605622372213913,0.2954724545100802,11314367879.834812,49273.38250894295,913334793.7101778,17.083823888833408,-6.5687486298979465,913334782.4353158,19936.408203740815
70,11043543636.845715,3.9126262312572884,0.31537967478229256,11043543659.955748,48685.03696998188,11134674566.736841,4.043299242446545,0.3066616693757781,11134674560.407553,49066.9158702775,955170565.916509,17.531267864934524,-6.915439327429341,955170584.9286605,20456.704887344913
71,10860112682.422857,4.035189407990239,0.326751072777122,10860112748.536783,48484.429646874836,10941051634.526316,4.2013404847012605,0.31871826670196224,10941051502.79861,48869.653491785655,1002198390.2898222,18.007371033668413,-7.305155897065491,1002198398.3421006,21007.095864838528
72,10668796492.068571,4.187171715019377,0.3386113056489475,10668796489.41813,48360.61803030423,10751742329.263159,4.3695290687334385,0.33050623269194146,10751742533.093447,48759.97397634858,1050514213.9689747,18.505112122872813,-7.705546252383455,1050514237.0553836,21611.886916427236
73,10506239716.205715,4.24645199060526,0.34868866008279586,10506239668.406918,48068.73307701792,10596403577.263159,4.432314144403726,0.34017894388428394,10596403521.118471,48479.70334305261,1097603754.747383,18.973569992950146,-8.09577428603241,1097603769.7695565,22150.94391016167
74,10315167126.674286,4.345677920741975,0.36053377905637085,10315167210.10611,47886.21914342199,10412688491.789474,4.536263574195338,0.3516185877232737,10412688434.835209,48311.71850336225,1142486840.178585,19.351350279269955,-8.467717634638538,1142486855.9953992,22610.782227547807
75,10114166532.38857,4.467301884970649,0.3729943778317487,10114166507.18173,47637.496602168765,10208616394.105263,4.673352441056621,0.3643258243746583,10208616427.813955,48070.52830807786,1199242130.7181234,19.875249408633014,-8.938045105524587,1199242134.7475824,23231.02193182759
76,9938999702.674286,4.6261523937767395,0.3838534621399484,9938999677.849562,47498.91463749068,10038769906.526316,4.873602026007774,0.3749018895565448,10038769992.490032,47963.717025568614,1254513052.3475847,20.34291334225966,-9.396071869722519,1254513064.6574204,23780.826842499646
77,9760823023.908571,4.6591137640039415,0.3948991353441722,9760823001.243214,47279.852775918414,9885865822.31579,4.847409281484387,0.3844229821570756,9885865900.960909,47738.09418197682,1310411512.9776769,20.87681972981182,-9.859298749155705,1310411502.01258,24418.799316221506
78,9597574038.674286,4.805214181786254,0.4050193957283158,9597574068.534607,47201.37632274764,9735087400.421053,5.005613625569361,0.39381170382801156,9735087621.834183,47682.21337701145,1368127035.1973767,21.396146638150046,-10.337583835677977,1368127040.8422484,25037.42386741412
