global_round,train_loss,train_mape,train_r2,train_mae,train_mse,dev_loss,dev_mape,dev_r2,dev_mae,dev_mse,test_loss,test_mape,test_r2,test_mae,test_mse
93,115634732.38095239,0.9991596951756236,0.08005332650282437,2474.5806512307554,115634727.3130426,169861704.42105263,0.8599226702747348,-0.006894519256452014,2412.3751533705936,169861685.1536089,121534823.88724934,0.8469666000648745,-0.0071515312994816504,2413.16173489672,121534822.9541097
94,116358344.88095239,1.0209824485681693,0.0742965114231634,2485.335684987051,116358342.88892984,169814035.47368422,0.8783382801121228,-0.006612117697487818,2421.0088960136236,169814044.4089447,121411744.3468281,0.8645563050966303,-0.006131529022942006,2421.8951869449334,121411737.40815209
95,113706357.83333333,1.0300117894173917,0.0953946856394371,2476.7691363763242,113706361.3202293,169566757.36842105,0.8775203439285837,-0.00514623505099876,2415.006281018257,169566752.07413897,121182375.3154244,0.8616675955757579,-0.004230752025262463,2413.666376024165,121182367.16076721
96,115015615.54761904,1.0632920751767898,0.08497872488033409,2504.533410485302,115015618.49434736,169666194.84210527,0.9173339309190509,-0.005735705910013822,2439.507632142619,169666194.9765943,121357753.03644848,0.9035313404331469,-0.005684136641974424,2440.883236905638,121357749.74877599
97,113922855.1904762,1.0836652883987818,0.09367233995667756,2505.1039719666755,113922855.36178888,169455125.57894737,0.9301256172303675,-0.004484650192663642,2441.7809493008413,169455143.64171657,121165763.1633245,0.9157329458295658,-0.004093169751304915,2443.2722532917264,121165764.85536689
98,116819234.64285715,1.094975162620981,0.0706298065257136,2518.216612341503,116819237.45289643,169470222.31578946,0.9428378536584117,-0.004574023241543657,2449.4664269183813,169470220.74900016,121203050.63261445,0.9293434703431227,-0.004402245010890482,2452.1031493832716,121203061.5339558
99,114402301.61904761,1.10941174632945,0.08985805083869858,2521.1610021293163,114402300.8500517,169354677.2631579,0.9581555179929793,-0.0038891390161177597,2455.7744353444955,169354681.74621373,121135540.93025602,0.9436374851297028,-0.0038427062162673664,2458.1117263276274,121135540.96110542
100,115651230.09523809,1.136412796895906,0.07992206044025929,2533.064318734975,115651227.09046173,169286812.10526314,0.9773694164890171,-0.0034868518033770446,2465.5276785085075,169286816.46085858,121051384.84298146,0.9627205588050306,-0.003145371104136263,2468.2689038249127,121051392.25382681
101,114902652.21428572,1.138106729449941,0.08587749235093844,2530.6664104859033,114902645.93368135,169238866.9473684,0.975930670323813,-0.003202598738693885,2463.664173176414,169238863.36979118,121097243.49955858,0.9618523655911472,-0.0035253833467703277,2467.0033005786463,121097249.02829781
102,110987255.09523809,1.1437988585989305,0.1170268962712776,2522.168181209337,110987252.8657338,169043090.0,0.9821746809366685,-0.0020421121899620864,2463.904276207874,169043090.92590976,120955219.03670073,0.9669790983478883,-0.002348366078405828,2466.8899971284454,120955216.19522446
103,113094267.35714285,1.175801942987685,0.10026424023726888,2544.746513881854,113094271.90865976,169079464.10526314,1.0120997159541338,-0.002257761101575495,2482.128976219579,169079470.5931218,120958373.28944382,0.9978433826611608,-0.0023745445185927583,2486.2330444351333,120958375.19562756
104,112421157.97619048,1.173805648695672,0.10561928850610514,2546.4888806797208,112421157.29869974,169157667.68421054,1.0157901270319343,-0.0027211950180707767,2485.4965147219204,169157651.24115172,121052654.02850297,1.0007097180966933,-0.003155871825993639,2489.7551448349095,121052659.39519744
105,109793093.3095238,1.1828719010295823,0.12652719350626163,2547.2868377438613,109793092.03901541,169085233.47368422,1.0265074633841655,-0.0022919292818921466,2490.495987829409,169085234.7169463,120934677.10884096,1.0113067077678142,-0.0021780872040466637,2494.4555533355356,120934668.33107004
106,112532949.76190476,1.2246427221643648,0.10472993748733139,2575.682890176773,112532946.2376722,168990373.0526316,1.067685175136049,-0.0017295200084197493,2515.2223868746505,168990357.06580108,120866926.55467272,1.052638063526156,-0.0016167235432384963,2519.967687885132,120866927.5482693
107,115346261.1904762,1.2628235163401673,0.08234824324629342,2597.7724467970074,115346262.68842652,168852957.15789473,1.1017524908315937,-0.0009150786806968458,2534.1674589608847,168852961.9626001,120718725.3487199,1.0867050760456602,-0.00038861923167599066,2539.7670896897957,120718729.9479714
108,115272702.07142857,1.2714700937999603,0.0829334460659421,2597.717337327344,115272704.3285537,168870988.7368421,1.1057099397085608,-0.0010218451790120486,2535.2666986333697,168870973.3202696,120679056.03934923,1.090108433407445,-5.986159191118112e-05,2541.004799908145,120679058.1604579
109,114949604.78571428,1.2694436100803648,0.08550391108918987,2596.4622999003955,114949604.05481607,168898148.84210527,1.0990328866020391,-0.001182913713624556,2531.400077631599,168898145.35486832,120699702.38037583,1.082588352118941,-0.00023103365780108298,2536.505040605968,120699713.80767295
